id,name,district,submarket,submarketSource,address,propertyType,publicBuildingType,buildingForm,buildingFormStatus,buildingFormSource,builtYear,builtYearSource,unitPrice,unitPriceSource,priceType,sellCount,source,sourceName,detailStatus
"gotohui-68015","南京万达广场","建邺","河西中部","公开地址归并板块","建邺万达广场","住宅","板楼","","公开源未提供洋房/小高层/高层等住宅形态，标记为待补充","","2012","聚汇数据小区详情页建筑年代","44772","聚汇数据小区详情页挂牌均价","聚汇数据小区详情页挂牌均价","0","https://m.gotohui.com/xiaoqu/68015","聚汇数据建邺区小区房价列表 + 聚汇数据小区详情页","已抓取"
"gotohui-327486","南京万达广场东坊","建邺","","","","小区","","","公开源未提供洋房/小高层/高层等住宅形态，标记为待补充","","","","","","暂无公开均价","0","https://m.gotohui.com/xiaoqu/327486","聚汇数据建邺区小区房价列表 + 聚汇数据小区详情页","已抓取"
"gotohui-531141","南京万达广场西地","建邺","水西门","公开地址归并板块","南京建邺区水西门大街","办公住宅","高层","高层","公开详情页明确提供住宅形态字段","聚汇数据小区详情页建筑类型","2010","聚汇数据小区详情页建筑年代","","","暂无公开均价","0","https://m.gotohui.com/xiaoqu/531141","聚汇数据建邺区小区房价列表 + 聚汇数据小区详情页","已抓取"
"gotohui-1626673","欧洲城铂金时代","建邺","","","","普通住宅","","","公开源未提供洋房/小高层/高层等住宅形态，标记为待补充","","2010","聚汇数据小区详情页建筑年代","34731","聚汇数据小区详情页挂牌均价","聚汇数据小区详情页挂牌均价","0","https://m.gotohui.com/xiaoqu/1626673","聚汇数据建邺区小区房价列表 + 聚汇数据小区详情页","已抓取"
"gotohui-1625870","欧洲城铂金时代公寓","建邺","","","","普通住宅","","","公开源未提供洋房/小高层/高层等住宅形态，标记为待补充","","2010","聚汇数据小区详情页建筑年代","35080","聚汇数据小区详情页挂牌均价","聚汇数据小区详情页挂牌均价","0","https://m.gotohui.com/xiaoqu/1625870","聚汇数据建邺区小区房价列表 + 聚汇数据小区详情页","已抓取"
"gotohui-1441249","平良上府","建邺","河西南部","公开地址归并板块","建邺平良大街与元前路交汇处","普通住宅","板楼","","公开源未提供洋房/小高层/高层等住宅形态，标记为待补充","","","","62521","聚汇数据小区详情页挂牌均价","聚汇数据小区详情页挂牌均价","0","https://m.gotohui.com/xiaoqu/1441249","聚汇数据建邺区小区房价列表 + 聚汇数据小区详情页","已抓取"
"gotohui-1778042","璞境","建邺","","","","普通住宅","","","公开源未提供洋房/小高层/高层等住宅形态，标记为待补充","","","","59505","聚汇数据小区详情页挂牌均价","聚汇数据小区详情页挂牌均价","0","https://m.gotohui.com/xiaoqu/1778042","聚汇数据建邺区小区房价列表 + 聚汇数据小区详情页","已抓取"
"gotohui-74114","栖庭","建邺","兴隆","公开地址归并板块","建邺兴隆大街","住宅","板楼","","公开源未提供洋房/小高层/高层等住宅形态，标记为待补充","","2010","聚汇数据小区详情页建筑年代","45564","聚汇数据小区详情页挂牌均价","聚汇数据小区详情页挂牌均价","0","https://m.gotohui.com/xiaoqu/74114","聚汇数据建邺区小区房价列表 + 聚汇数据小区详情页","已抓取"
"gotohui-1151222","秦新名邸","建邺","奥体","公开地址归并板块","建邺奥南","住宅","板塔结合","","公开源未提供洋房/小高层/高层等住宅形态，标记为待补充","","2017","聚汇数据小区详情页建筑年代","45822","聚汇数据小区详情页挂牌均价","聚汇数据小区详情页挂牌均价","0","https://m.gotohui.com/xiaoqu/1151222","聚汇数据建邺区小区房价列表 + 聚汇数据小区详情页","已抓取"
"gotohui-71083","沁园村","建邺","奥体","公开地址归并板块","建邺奥体","住宅","板塔结合","","公开源未提供洋房/小高层/高层等住宅形态，标记为待补充","","2010","聚汇数据小区详情页建筑年代","61192","聚汇数据小区详情页挂牌均价","聚汇数据小区详情页挂牌均价","0","https://m.gotohui.com/xiaoqu/71083","聚汇数据建邺区小区房价列表 + 聚汇数据小区详情页","已抓取"
